athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Emma Calvo,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7623.00288,17
Julie Plestotova,CZE,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7647.002208,18
Morgane Dornic,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7647.008256,19
Aroa Silva Fidalgo,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7704.008928,20
Claudia Giralt Pidemont,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7768.999872,21
Carla Goyanes Garcia,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7780.002048,22
Nora Naessens,BEL,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7783.007904,23
Candela Sanchez Lora,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7815.002688,24
Claire Six,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7816.009248,25
Reka Fehervari,HUN,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7834.002048,26
Alice Bataille,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7835.007744,27
Veronika Petrekova,CZE,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7928.00784,28
Clémence Coccordano,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7937.003808,29
Emma Bruneau,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7951.0032,30
Ilona Maille,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7982.006976,31
Sara Veress,HUN,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7983.008352,32
Anna Fave,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,8018.008992,33
Lucie Sebestova,CZE,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,8028.999936,34
Emilie Sansome,GBR,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,8192.00304,35
Noah Bondouy,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,8194.004064,36
Clara Spanu,ROU,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,8220.008736,37
Nadia Blaauw,RSA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,8408.003904,38
Jess Booth,RSA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,8627.007168,39
Kiara Barnes,RSA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,8695.009152,40
Valentina Barbosa,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,8825.009184,41
end,,,2019_06_29_Barcelona_10km_W,,,,,,,
Angélica Andre,POR,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,6947.00928,1
Ginevra Taddeucci,ITA,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,6948.0072,2
Angela Maurer,GER,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,7039.999872,3
Mafaida Rosa,POR,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,7041.007296,4
Marija Babkina,RUS,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,7111.001664,5
Daria Volobueva,RUS,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,7196.00112,6
Samira-Svea Erhart,GER,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,7402.003776,7
end,,,2019_08_18_OhridLake_10km_W,,,,,,,
Leonie Antonia Beck,GER,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4403.9808,1
Hannah Moore,USA,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4426,2
Lea Boy,GER,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4435,3
Jeanette Spiwoks,GER,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4450,4
Mariia Novikova,RUS,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4475,5
Maria Babkina,RUS,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4475,6
Daria Volobueva,RUS,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4476,7
Elea Linka,GER,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4480,8
Lærke Toft Ruby,DEN,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4547,9
Anna Brendstrup,DEN,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4585,10
Stephanie Houtman,RSA,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4591,11
Catherine Francis Van Rensburg,RSA,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,4815,12
Scarlett Botes,RSA,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,5359,13
Megan De Wet,RSA,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,5372,14
Gabriela Martins Scrooby,RSA,08/31/2019,LEN Cup,"Copenhagen, DEN",6,NW,Neutral,14,5384,15
end,,,2019_08_31_Copenhagen_6km_W,,,,,,,
Valeriia Ermakova,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7383.46,1
Angélica Andr,POR,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7388.11,2
Mariia Novikova,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7389.16,3
Mariel Fabian Eva,ISR,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7390.86,4
Ekaterina Sorokina,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7400.06,5
Yana Kurtseva,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7400.11,6
Sofia Kolesnikova,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7403.81,7
Alena Benesova,CZE,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7406.06,8
Krystyna Panchishko,UKR,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7538.91,9
Ellen Olsson,SWE,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7538.96,10
Alisa Skorniakova,RUS,03/08/2020,LEN Cup,"Eilat, ISR",10,NW,Neutral,30,7544.16,11
