athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Eden Girloanta,ISR,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7234.6,38.0
Tsz Yin Nip,HKG,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7274.6,39.0
Lenka Sterbova,CZE,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7275.5,40.0
Martha Sandoval,MEX,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7277.5,41.0
Paola Perez,VEN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7289.7,42.0
Martha Aguilar Ortega,MEX,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7302.1,43.0
Nataly Caldas Calle,ECU,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7323.5,44.0
Chantel Lily Jeffrey,CAN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7339.9,45.0
Robyn Kinghorn,RSA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7385.1,46.0
Justyna Burska,POL,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7408.4,47.0
Sandy Atef,EGY,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7657.8,48.0
Liliana Hernandez,VEN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7658.4,49.0
Karolina Dubcakova,SVK,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7658.7,50.0
Mariya Fedotova,KAZ,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7662.5,51.0
Cho Ying Wong,HKG,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7663.4,52.0
Dayoun Lim,KOR,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7670.9,53.0
Pimpun Choopong,THA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7696.6,54.0
Haeun Jung,KOR,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7776.8,55.0
Yanci Vanegas,GUA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7919.1,56.0
Fatima Flores,ESA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7920.6,57.0
Katawan Teeka,THA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,8247.0,58.0
Hita Nayak,IND,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,8252.3,59.0
Sofie Frichot,SEY,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,8287.7,60.0
Nikitha Setru Venugopal,IND,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,8409.5,61.0
Camila Mercado,BOL,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,8589.7,62.0
Genesis Rojas,CRC,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,8609.4,63.0
Merle Liivand,EST,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,8610.8,64.0
