athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Aquiles Balaudo,,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Provenzano,,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Diaz Hernandez,,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Pancevski,,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2017_08_19_OhridLake_30km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Bianchi,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo Bertola,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Studzinski,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
