proper_name,country
Sebastien Dureux,FRA
Franco Ivo Cassini,ARG
Enzo Kihara,BRA
Jan Hercog,AUT
Jack Wilson,AUS
Sacha Velly,FRA
Daigo Wada,JPN
Ahmed Hafnaoui,TUN
Mohamed Khalil Ben Ajmia,TUN
Matias Cordero,ECU
Grgo Mujan,CRO
Dimitrios Markos,GRE
Bogdan Petre,ROU
Vincent Crooijmans,NED
Ous Mellouli,TUN
Sander Crooijmans,NED
Tameea Elhamayda,QAT
Diogo Cardoso,POR
Phillip Seidler,NAM
Johndry Segovia,VEN
Malek Louissi,TUN
Diego Vera,VEN
Krzysztof Chmielewski,POL
Henre Louw,RSA
Christian Schreiber,SUI
Mattias Glenesk,SWE
Rodrigo Caballero,BOL
Maximiliano Paccot,URU
Felipe Lopez,URU
Matthieu Magne,FRA
Aaron Elias Schmidt,GER
Alexandre Verplaetse,FRA
Polat Uzer Turnali,TUR
Ahmet Buraki Sik,TUR
Mehmet Efe Yilmaz,TUR
Emir Batur Albayrak,TUR
Atakan Malgil,TUR
Yagiz Efe Ari,TUR
Kristijan Stojanovski,MKD
Bora Tokcan,TUR
Riccardo Chiarcos,ITA
Marco Inglima,ITA
Ziv Cohen,ISR
Yoav Parvar,ISR
Yaron Mantin,ISR
Yuval Krelman,ISR
Oliver Klemet,GER
Zalan Sarkany,HUN
Linus Schwedler,GER
Ben Langner,GER
Dylan Gravley,USA
Bruce Hanson Almeida,BRA
Mark Kovacsics,HUN
Haoyang Tang,CHN
Joshua Brown,USA
Aleksandr Stepanov,RUS
Eric Georges Brown,CAN
Theo Druenne,MON
Danie Marais,RSA
Kirill Belyaev,RUS
Fernando Betanzos,MEX
Wilder Carreno,VEN
Denis Adeev,RUS
Arturo Perez Vertti Ferrer,MEX
Amadou Ndiaye,SEN
Zedheir Torrez,BOL
Cristofer Lanuza,CRC
Idan Mordel,ISR
Tsz Fung Tse,HKG
