athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,,,,
Hercog Jan,AUT,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6856.007616,34,,,,
Emir Batur Albayrak,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6857.003808,35,,,,
Christian Schreiber,SUI,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6901.009056,36,,,,
Filippo Rinaldi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6903.00576,37,,,,
Andrade Villarinho,BRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6907.000032,38,,,,
Mathieau Magne,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6907.005216,39,,,,
Alessio Sartoretto,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6907.99968,40,,,,
Alexandre Verplaetse,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7033.004928,41,,,,
Niccolo' Ricciardi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7049.00016,42,,,,
Peter Galicz,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7090.003008,43,,,,
Marco Inglima,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7109.005824,44,,,,
Burhanettin Hacisagir,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7110.000288,45,,,,
Valentin Duteil,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7111.007712,46,,,,
Theo Druenne,MON,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7113.004416,47,,,,
Tiziano Tripodi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7113.999744,48,,,,
Daniele Titta,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7115.00112,49,,,,
Yori Lecomte,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7115.004576,50,,,,
Adib Khalil,LBN,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7140.000096,51,,,,
Laszlo Galicz,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7144.009056,52,,,,
Oleksandr Oleksyshyn,UKR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7149.002976,53,,,,
Mehmet Efe Yilmaz,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7152.99984,54,,,,
Vecchio Vincenzo Del,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7212.003264,55,,,,
Tommaso Griffante,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7341.99984,56,,,,
Alessandro Gadani,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7345.005696,57,,,,
Clement Mathieu,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7354.001664,58,,,,
Atakan Ercan,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7367.004864,59,,,,
Federico Marchi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7368.007968,60,,,,
Poyraz San Askin,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7373.002752,61,,,,
Simon Barbieux,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7375.00032,62,,,,
Andrea Zoppi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7378.001856,63,,,,
Ahmet Efe Soker,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7385.00112,64,,,,
Alessandro Addis,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7400.002752,65,,,,
Andrea Zanini,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7424.002944,66,,,,
Ahmet Ege Guldag,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7435.003392,67,,,,
Romaine Pourcel,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7466.999904,68,,,,
Eliot Garoux,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7468.002144,69,,,,
Giovanni Oriente,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7471.000224,70,,,,
Rossi Rodolfo Marchetti,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7472.000736,71,,,,
Giacomo Brogelli,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7483.00032,72,,,,
Muhammed Yusuf Ozden,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7512.001344,73,,,,
Batuhan Ecrin Pinar,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7522.000416,74,,,,
Danylo Chobanian,UKR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7604.000928,75,,,,
Gabriele Catalano,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7621.00704,76,,,,
Dovukan Ulac,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7704.002016,77,,,,
Cagatay Alper Ustununal,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7754.999616,78,,,,
Lucas Falla,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7773.008832,79,,,,
Giovanni Filippini,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7846.008192,80,,,,
Riccioli Eugenio Albini,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7847.008704,81,,,,
Maksym Klys,UKR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7861.002912,82,,,,
Kimani Bellanger,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,7998.003072,83,,,,
Niccol Lucchi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,8080.999776,84,,,,
end,,,2022_05_13_LEN_Piombino_10km,,,,,,,,,,,
