athlete_name,country,status,dob,count
Bianca Crisp,AUS,Active,,1
Maria Claro Martinez,ESP,Active,,1
Yumi Tou,JPN,Active,,1
Hayley Pike,USA,Active,,1
Runa Kasahara,JPN,Active,,1
Silvia Ciccarella,ITA,Active,,1
Celia Heurtaux,FRA,Active,,1
Yuen Koike,JPN,Active,,1
Petra Mijic,CRO,Active,,1
Mia Yamamoto,JPN,Active,,1
Lucie Zubalikova,CZE,Active,,1
Leona Coha,CRO,Active,,1
Isabella Sinisi,ITA,Active,,1
Madelon Catteau,FRA,Active,,1
Marie Kuntzmann,FRA,Active,,1
Eleonora Brotto,ITA,Active,,1
Milana Boldyreva,KAZ,Active,,1
Anastasiia Kirpichnikova,RUS,Active,,1
Johanna Enkner,AUT,Active,,1
Maria Jose Mata Cocco,MEX,Active,,1
Klaudia Tarasiewicz,POL,Active,,1
Hania Moro,EGY,Active,,1
Stephanie Houtman,RSA,Active,,1
Samira-Svea Erhart,GER,Active,,1
Sofie Callo,ITA,Active,,1
Narin Burcunaz,TUR,Active,,1
Tuna Erdogan,TUR,Active,,1
Sophia Irem Iskenderoglu,TUR,Active,,1
Sevim Eylul Supurgeci,TUR,Active,,1
Ece Yildirim,TUR,Active,,1
Merve Erdemir,TUR,Active,,1
Ilgin Celik,TUR,Active,,1
Doga Babacan,TUR,Active,,1
Rebecca Talanti,ITA,Active,,1
Nora Naessens,BEL,Active,,1
Orian Gablan,ISR,Active,,1
Guy Shlegel,ISR,Active,,1
Serena Stel,NED,Active,,1
Ginevra Taddeucci,ITA,Active,,1
Elea Linka,GER,Active,,1
Vivien Balogh,HUN,Active,,1
Alisia Tettamanzi,ITA,Active,,1
Katie Grimes,USA,Active,,1
Sarah Kohler,GER,Active,,1
Xiaoming Ma,CHN,Active,,1
Yana Kurtseva,RUS,Active,,1
Lean Cabon,FRA,Active,,1
Kincso Gal,HUN,Active,,1
Brooke Travis,USA,Active,,1
Xeniya Romanchuk,KAZ,Active,,1
Mathilde Herlem,FRA,Active,,1
Holly Hibbott,GBR,Active,,1
Diana Taszhanova,KAZ,Active,,1
Mariia Bondarenko,UKR,Active,,1
Irina Arkhipova,KAZ,Active,,1
Poliana Okimoto Cintra,BRA,Active,,1
Ophelie Aspord,FRA,Active,,1
Emily Brunemann,USA,Active,,1
Astridi Turbe,VEN,Active,,1
Silvie Rybarova,CZE,Active,,1
Karelis Del Carmen Clemant Materano,VEN,Active,,1
Florencia Mazzei Villegas,ARG,Active,,1
Esther Nunez Morera,ESP,Active,,1
Stephanie Karin Romero Serwatka,ARG,Active,,1
Mayte Puca,ARG,Active,,1
María Celeste Puñet,ARG,Active,,1
Keri-Anne Payne,GBR,Active,,1
Eva Risztov,HUN,Active,,1
Isabelle Harle,GER,Active,,1
Anastasiia Azarova,RUS,Active,,1
Heidi Gan,MAS,Active,,1
Erika Villaecija,ESP,Active,,1
Olga Kozydub,RUS,Active,,1
Sarah Thompson,AUS,Active,,1
Joanna Zachoszcz,POL,Active,,1
Nikoletta Kiss,HUN,Active,,1
Aygul Sagirova,RUS,Active,,1
Mireia Belmonte,ESP,Active,,1
Charlyne Secrestat,FRA,Active,,1
Sophie Evans,GBR,Active,,1
Jimena Perez Blanco,ESP,Active,,1
Connie Mcclelland,AUS,Active,,1
Reem Kaseem,EGY,Active,,1
Fiona On Yi Chan,HKG,Active,,1
Alessandra Colombini,AUS,Active,,1
Sofiia Zubenko,UKR,Active,,1
Hoi Man Lok,HKG,Active,,1
Mariam Abdelrahman Elsayed Sakr,EGY,Active,,1
Jana Pechanova,CZE,Active,,1
Vania Neves,POR,Active,,1
Jade Dusablon,CAN,Active,,1
Kristel Kobrich,CHI,Active,,1
Karla Sitic,CRO,Active,,1
Charlotte Webby,NZL,Active,,1
Zaira Cardenas,MEX,Active,,1
Nilay Erkal,TUR,Active,,1
Cherelle Tahnee Oestringer,SUI,Active,,1
Carmen Le Roux,RSA,Active,,1
Ecem Donmez,TUR,Active,,1
Tiffany Wan Fung Lee,HKG,Active,,1
Borbala Szalai,HUN,Active,,1
Tali Lemcoff,ISR,Active,,1
Jelena Jecanski,SRB,Active,,1
Rotem Meirov,ISR,Active,,1
Ekaterina Sorokina,RUS,Active,,1
Julie Pleskotova,CZE,Active,,1
Evan Giannopoulou Nefeli,GRE,Active,,1
Laerke Toft Ruby,DEN,Active,,1
Adi Peleg,ISR,Active,,1
Agathe Henry,FRA,Active,,1
Aimee Hood,GBR,Active,,1
Alba Herrero Lazaro,ESP,Active,,1
Alexane Cormier,FRA,Active,,1
Alexia Bouteilly,FRA,Active,,1
Alexia Saurel,FRA,Active,,1
Alice Bataille,FRA,Active,,1
Alisa Skorniakova,RUS,Active,,1
Alissia Montebrun,FRA,Active,,1
Alizée Marbais,FRA,Active,,1
Alvarez Maria De Valdes,ESP,Active,,1
Amelia Rodd,GBR,Active,,1
Anais Jarraud,FRA,Active,,1
Anastasia Basalduk,RUS,Active,,1
Anastasiia Kostyleva,RUS,Active,,1
Andrea Dominguez Casabella,ESP,Active,,1
Clara Andreea Spanu,ROU,Active,,1
Angela Martinez Guillen,ESP,Active,,1
Angelina Kargaltseva,RUS,Active,,1
Anita Metelnytskyy,ISR,Active,,1
Anna Brendstrup,DEN,Active,,1
Anna Egorova,RUS,Active,,1
Anna Fave,FRA,Active,,1
Anna Tymashenko,ISR,Active,,1
Antonia Bulicic,CRO,Active,,1
Arianna Valloni,SMR,Active,,1
Aroa Silva Fidalgo,ESP,Active,,1
Audrenn Foiny,FRA,Active,,1
Audrey Robert,FRA,Active,,1
Aurelie Holschneider,FRA,Active,,1
Aurianne Regi,FRA,Active,,1
Aurora Ponsele,ITA,Active,,1
Avital Flishman,ISR,Active,,1
Ayala Chudy,ISR,Active,,1
Bar Goldin,ISR,Active,,1
Blanka Berecz,HUN,Active,,1
Annet Borsi,HUN,Active,,1
Brooke Switzer,CAN,Active,,1
Camille Bouteloup,FRA,Active,,1
Camille Cottier,FRA,Active,,1
Carmen Mikusova,SVK,Active,,1
Catherine Francis Van Rensburg,RSA,Active,,1
Céleste Vereecke,FRA,Active,,1
Charlotte Perrin,FRA,Active,,1
Celine Weil,SUI,Active,,1
Chloe Green,AUS,Active,,1
Chloé Lisik,FRA,Active,,1
Chloé Stutel,FRA,Active,,1
Christine Ekman,SWE,Active,,1
Clémence Coccordano,FRA,Active,,1
Coline Coraboeuf,FRA,Active,,1
Daria Klimova,RUS,Active,,1
Daria Volobueva,RUS,Active,,1
Eden Botbol,ISR,Active,,1
Eden Nimri,ISR,Active,,1
Ekaterina Zotova,RUS,Active,,1
Elea Perigueux,FRA,Active,,1
Elise Houllier,FRA,Active,,1
Elise Oeberg,SWE,Active,,1
Elizaveta Anufrieva,RUS,Active,,1
Ella Dyson,GBR,Active,,1
Emili Seyevich,ISR,Active,,1
Emilia Sansome,GBR,Active,,1
Emilie Anne,FRA,Active,,1
Emilie Cahuzac,FRA,Active,,1
Emilie Sansome,GBR,Active,,1
Emily Clarke,GBR,Active,,1
Emily Golos,ISR,Active,,1
Emma Bruneau,FRA,Active,,1
Emma Calvo,FRA,Active,,1
Emma Cocheteux,FRA,Active,,1
Emma Lebre,FRA,Active,,1
Emma Leu,AUT,Active,,1
Emma Onolfo,FRA,Active,,1
Esther Rydbeck Norden,SWE,Active,,1
Eva Vilar Yebra,ESP,Active,,1
Evdokia Kritikou,GRE,Active,,1
Fatima Portillo,ESA,Active,,1
Fraenzi Heinrich,GER,Active,,1
Gabriela Martins Scrooby,RSA,Active,,1
Gili Weltman,ISR,Active,,1
Giulia Berton,ITA,Active,,1
Giulia Salin,ITA,Active,,1
Helena Hvid Hansen,DEN,Active,,1
Helvina Huet,FRA,Active,,1
Hilal Zeyneb Sarac,TUR,Active,,1
Inbal Hazan,ISR,Active,,1
Inès Idier,FRA,Active,,1
Iris Menechini,ITA,Active,,1
Ivana Nedelkovska,MKD,Active,,1
Jackie Gade,DEN,Active,,1
Jada Chatoor,TTO,Active,,1
Janna De Vries Lize,NED,Active,,1
Jannette Spiwoks,GER,Active,,1
Jess Booth,RSA,Active,,1
Jnaka Juhasz,HUN,Active,,1
Joanne Pladys,FRA,Active,,1
Josephine Tesch,GER,Active,,1
Jovana Nedelkovska,MKD,Active,,1
Karolina Balazikova,SVK,Active,,1
Kaylee De Jong,NED,Active,,1
Kiara Barnes,RSA,Active,,1
Lara Maria Hernandez Tome,ESP,Active,,1
Laura Burycz,FRA,Active,,1
Laura Rodriguez Santaularia,ESP,Active,,1
Léa Cepeck,FRA,Active,,1
Léa Dubois,FRA,Active,,1
Leah Crisp,GBR,Active,,1
Lia Arad,ISR,Active,,1
Linda Ungerboeck,AUT,Active,,1
Liane Muller,SUI,Active,,1
Libi Sela,ISR,Active,,1
Lilou Ambrass,FRA,Active,,1
Lily Smith,FRA,Active,,1
Lou Joly,FRA,Active,,1
Lou-Anne Barniet,FRA,Active,,1
Louise Culty,FRA,Active,,1
Lucie Hanquet,BEL,Active,,1
Lucie Sebestova,CZE,Active,,1
Lucile Mouret,FRA,Active,,1
Lucy Fox,GBR,Active,,1
Maëlys Fardeau,FRA,Active,,1
Maëlys Fourmy,FRA,Active,,1
Maeve Garreau,FRA,Active,,1
Maiana Flament,FRA,Active,,1
Maina Guillemin,FRA,Active,,1
Manoella Barbosa,FRA,Active,,1
Margaux Bouteloup,FRA,Active,,1
Margaux Guillaume,FRA,Active,,1
Maria Babkina,RUS,Active,,1
