athlete_name,country,date,event,location,distance,current_type,temp,field_size,time,place
Matteo Furlan,ITA,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,965.30",2
Kirill Abrosimov,RUS,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,972.24",3
Marcel Schouten,NED,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,972.84",4
Kristof Rasovszky,HUN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,972.91",5
Allan Do Carmo,BRA,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,973.20",6
Pepijn Smits,NED,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,987.20",7
Ziyang Zhang,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,987.70",8
Hao Han Wang,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,989.06",9
Andreas Waschburger,GER,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,990.54",10
Dario Verani,ITA,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,991.20",11
Junbohang Zhao,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,027.75",12
Lupeng Liu,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,040.47",13
Elliot Sodemann,SWE,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,042.56",14
Mingyu Lu,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,045.53",15
Bozhao Zhang,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,076.28",16
Ruoyu Wang,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,080.78",17
Shuyi Liu,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,081.09",18
Jiabao An,CHN,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"7,084.84",19
