athlete_name,country,date,event,location,distance,current_type,temp,field_size,time,place
Daniel Delgadillo,MEX,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,938.50",51
Mark Kovacsics,HUN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,946.60",52
Haoyang Tang,CHN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,953.20",53
Matthieu Magne,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,966.10",54
Joshua Brown,USA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,999.10",55
David Heron,USA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"7,118.10",56
Aleksandr Stepanov,RUS,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"7,151.70",57
Eric Georges Brown,CAN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"7,209.00",58
Lev Cherepanov,KAZ,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"7,354.60",59
Igor Chervynskiy,UKR,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"7,356.50",60
Theo Druenne,MON,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"7,469.70",61
Galymzhan Balabek,KAZ,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"7,474.50",62
end,,,2021_12_15_AbuDhabi_10km,,,,,,,0
