athlete_name,country,date,event,location,distance,current_type,temp,field_size,time,place,,,
Evgenii DRATTCEV,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,4,,,
Ous MELLOULI,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,5,,,
Richard NAGY,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,6,,,
Jarrod POORT,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,7,,,
Andreas WASCHBURGER,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,8,,,
Simon HUITENGA,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,9,,,
Yasunari HIRAI,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,10,,,
Chad HO,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,11,,,
Ventsislav AYDARSKI,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,12,,,
Esteban ENDERICA SALGADO,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,13,,,
Mark PAPP,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,14,,,
Antonio ARROYO,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,15,,,
Kirill ABROSIMOV,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,16,,,
Yohsuke MIYAMOTO,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,17,,,
Erwin MALDONADO,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,18,,,
Kane Rae Francis RADFORD,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,19,,,
Igor CHERVYNSKIY,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,20,,,
Jan MICKA,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,21,,,
Shuyi LIU,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,22,,,
Guillermo BERTOLA,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,23,,,
Vitaliy KHUDYAKOV,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,24,,,
Damian BLAUM,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,25,,,
Arturo PEREZ VERTTI FERRER,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,26,,,
Gustavo GUTIERREZ,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,27,,,
Rafael GIL,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,28,,,
Mateusz SAWRYMOWICZ,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,29,,,
Evgenij POP ACEV,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,30,,,
Marwan ELAMRAWY,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,31,,,
Daniel DELGADILLO,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,32,,,
Davy BILLIAU,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,33,,,
Phillip RYAN,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,34,,,
Krzysztof PIELOWSKI,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,35,,,
Vasco GASPAR,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,36,,,
Igor SNITKO,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,37,,,
Matthias SCHWEINZER,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,38,,,
Troyden PRINSLOO,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,39,,,
Yuval SAFRA,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,40,,,
Christopher BRYAN,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,41,,,
Haythem ABDELKHALEK,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,42,,,
Pol GIL,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,43,,,
Jan KUTNIK,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,44,,,
Tamas FARKAS,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,45,,,
Matthew LOWE,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,46,,,
Oskar NORDSTRAND,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,47,,,
Soon Choy Kevin YEAP,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,48,,,
Youssef Hossameldeen Khalil HOSSAMELDEEN,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,49,,,
Kenessary KENENBAYEV,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,50,,,
Singha CHAU,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,51,,,
Chin Ting Keith SIN,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,52,,,
Said SABER,,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,Current,Cold,61,,53,,,
end,,,2016_06_12_Setubal_10km,,,,,,,0,,,
Simone RUFFINI,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,1,,,
Andreas WASCHBURGER,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,2,,,
Richard WEINBERGER,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,3,,,
Sean RYAN,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,4,,,
Kristof RASOVSZKY,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,5,,,
Soren Dellef Meissner,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,6,,,
Chip PETERSON,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,7,,,
Diogo VILLARINHO,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,8,,,
Federico VANELLI,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,9,,,
Ivan ENDERICA OCHOA,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,10,,,
Damien CATTIN-VIDAL,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,11,,,
Christian REICHERT,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,12,,,
David HERON,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,13,,,
Daniel SZEKELYI,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,14,,,
Moritz Andreas BARTELS,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,15,,,
Allan DO CARMO,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,16,,,
Matteo FURLAN,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,17,,,
Patrik RAKOS,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,18,,,
Evgenij POP ACEV,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,19,,,
Jan URBANIAK,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,20,,,
Daniel KOBER,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,21,,,
Vitaliy KHUDYAKOV,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,22,,,
Yuval SAFRA,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,23,,,
Nicolas MASSE-SAVARD,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,24,,,
Phillip RYAN,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,25,,,
Xavier DESHARNAIS,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,26,,,
Shahar RESMAN,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,27,,,
Mathieu MATTELEAR,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,28,,,
Matej KOZUBEK,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,29,,,
Tamas NOVOSZATH,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,30,,,
Matan RODITI,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,31,,,
Benjamin BRANTU,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,32,,,
Philippe GUERTIN,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,33,,,
Adam OROSZ,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,34,,,
Zoltán DRIGAN,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,35,,,
Davy BILLIAU,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,36,,,
Yasunari HIRAI,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,37,,,
Vit INGEDULD,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,38,,,
Yohsuke MIYAMOTO,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,39,,,
Tamas FARKAS,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,40,,,
Edwin SERES,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,41,,,
Bartosz KUBKOWSKI,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,42,,,
Alon LERNER,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,43,,,
Daniel ZACHAR,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,44,,,
Bence BALZAM,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,45,,,
Marek PAVUK,,06/18/2016,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,47,,46,,,
end,,,2016_06_18_Balatonfured_10km,,,,,,,0,,,
Philippe GUERTIN,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,1,,,
Chip PETERSON,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,2,,,
Andreas WASCHBURGER,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,3,,,
Eric HEDLIN,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,4,,,
Richard WEINBERGER,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,5,,,
Pepijn SMITS,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,6,,,
Damien CATTIN-VIDAL,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,7,,,
Christian REICHERT,,06/28/2016,FINA World Cup,"Roberval, CAN",10,No Current,Cold,20,,8,,,
