athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Maria De Valdes,ESP,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,854.84",23
Mackenzie Brazier,AUS,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,857.59",24
Fang Qu,CHN,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,880.62",25
Maria Bramont-Arias,PER,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,935.84",26
Minami Niikura,JPN,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,976.17",27
Ellen Olsson,SWE,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"8,026.04",28
Maryna Kyryk,UKR,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"8,043.51",29
Chloe Gubecka,AUS,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"8,066.27",30
Muran Tian,CHN,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"8,072.09",31
Romina Soledad Imwinkelried,ARG,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"8,163.94",32
Xu Chu,CHN,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"8,315.06",33
Hannah Blackwood,NZL,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"8,535.28",34
end,,,2018_06_09_Setubal_10km_W,,,,,,,
Ana Marcela Cunha,BRA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,553.10",1
Haley Anderson,USA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,553.40",2
Rachele Bruni,ITA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,554.70",3
Giulia Gabbrielleschi,ITA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,556.80",4
Kareena Lee,AUS,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,557.00",5
Angelica Andre,POR,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,565.00",6
Finnia Wunram,GER,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,567.30",7
Martina De Memme,ITA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,568.60",8
Sharon Van Rouwendaal,NED,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,575.50",9
Samantha Arevalo,ECU,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,576.40",10
Chelsea Gubecka,AUS,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,576.60",11
Melinda Novoszath,HUN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,580.90",12
Xin Xin,CHN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,583.70",13
Svenja Zihsler,GER,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,596.40",14
Alena Benesova,CZE,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,600.40",15
Onon Katalin Somenek,HUN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,602.10",16
Chloe Gubecka,AUS,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,602.20",17
Yumi Kida,JPN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,622.60",18
Mackenzie Brazier,AUS,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,622.90",19
Anna Olasz,HUN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,631.60",20
Leonie Beck,GER,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,667.10",21
Viviane Jungblut,BRA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,709.30",22
Nikolett Szilagyi,HUN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,714.10",23
Yukimi Moriyama,JPN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,714.50",24
Eden Girloanta,ISR,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,715.90",25
Adel Juhasz,HUN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,716.10",26
Reka Rohacs,HUN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,741.70",27
Fang Qu,CHN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,797.90",28
Luca Vas,HUN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,915.50",29
Justyna Burska,POL,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"7,970.70",30
Greta Szilvasi,HUN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"8,094.30",31
Xu Chu,CHN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"8,162.20",32
Muran Tian,CHN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"8,252.60",33
Karolina Dubcakova,SVK,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"8,700.30",34
Hannah Blackwood,NZL,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"8,700.90",35
Dana Khaled Abdelmoneim Akl,EGY,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,NW,Neutral,42,"8,718.10",36
end,,,2018_06_16_Balatonfured_10km_W,,,,,,,
Ana Marcela Cunha,BRA,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,553.10",1
Haley Anderson,USA,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,553.40",2
Rachele Bruni,ITA,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,554.70",3
Giulia Gabbrielleschi,ITA,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,556.80",4
Kareena Lee,AUS,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,557.00",5
Angelica Andre,POR,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,565.00",6
Finnia Wunram,GER,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,567.30",7
Martina De Memme,ITA,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,568.60",8
Sharon Van Rouwendaal,NED,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,575.50",9
Samantha Arevalo,ECU,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,576.40",10
Chelsea Gubecka,AUS,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,576.60",11
Melinda Novoszath,HUN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,580.90",12
Xin Xin,CHN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,583.70",13
Svenja Zihsler,GER,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,596.40",14
Alena Benesova,CZE,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,600.40",15
Onon Katalin Somenek,HUN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,602.10",16
Chloe Gubecka,AUS,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,602.20",17
Yumi Kida,JPN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,622.60",18
Mackenzie Brazier,AUS,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,622.90",19
Anna Olasz,HUN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,631.60",20
Leonie Beck,GER,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,667.10",21
Viviane Jungblut,BRA,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,709.30",22
Nikolett Szilagyi,HUN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,714.10",23
Yukimi Moriyama,JPN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,714.50",24
Eden Girloanta,ISR,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,715.90",25
Adel Juhasz,HUN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,716.10",26
Reka Rohacs,HUN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,741.70",27
Fang Qu,CHN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,797.90",28
Luca Vas,HUN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,915.50",29
Justyna Burska,POL,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"7,970.70",30
Greta Szilvasi,HUN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"8,094.30",31
Xu Chu,CHN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"8,162.20",32
Muran Tian,CHN,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"8,252.60",33
Karolina Dubcakova,SVK,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"8,700.30",34
Hannah Blackwood,NZL,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"8,700.90",35
Dana Khaled Abdelmoneim Akl,EGY,07/26/2018,FINA World Cup,"Roberval, CAN",10,NW,Neutral,42,"8,718.10",36
end,,,2018_07_26_Roberval_10km_W,,,,,,,
Barbara Pozzobon,ITA,07/28/2018,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,11,"27,320.60",1
Morgane Dornic,FRA,07/28/2018,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,11,"27,339.80",2
Pilar Geijo,ARG,07/28/2018,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,11,"28,522.00",3
Alice Franco,ITA,07/28/2018,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,11,"28,774.50",4
Sabryna Lavoie,CAN,07/28/2018,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,11,"29,750.90",5
Marie-Laurence Lortie,CAN,07/28/2018,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,11,"31,091.30",6
Rita Vanesa Garcia,ARG,07/28/2018,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,11,"32,139.80",7
Daira Marin,ARG,07/28/2018,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,11,"32,177.90",8
end,,,2018_07_28_Roberval_32km_W,,,,,,,
Xin Xin,CHN,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,480.50",1
Rachele Bruni,ITA,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,525.20",2
Samantha Arevalo,ECU,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,571.70",3
Becca Mann,USA,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,578.40",4
Maria Bramont-Arias,PER,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,583.40",5
Svenja Zihsler,GER,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,595.29",6
Nataly Caldas Calle,ECU,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,615.40",7
Julia Arino,ARG,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,643.10",8
Ellen Olsson,SWE,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,663.80",9
Caroline Laure Jouisse,FRA,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,697.10",10
Sarah Bosslet,GER,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,765.80",11
Betina Lorscheitter,BRA,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,793.10",12
Mahina Nicole Valdivia Dannenberg,CHI,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,796.30",13
Sabryna Lavoie,CAN,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,797.60",14
Romina Soledad Imwinkelried,ARG,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,904.40",15
Stefannie Gillespie,NZL,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"7,975.10",16
Andrea Terriault,CAN,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"8,045.60",17
Mia Desjarlais,CAN,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"8,454.50",18
Sandra Frimerman-Bergquist,USA,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"8,475.40",19
Marie-Laurence Lortie,CAN,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"8,668.20",20
Heidi Ullrich,CAN,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"8,721.40",21
Dania Belisle,CAN,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,22,"9,371.30",22
end,,,2018_08_11_LacMegantic_10km_W,,,,,,,
Barbara Pozzobon,ITA,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,11,"19,379.30",1
Anna Olasz,HUN,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,11,"19,383.18",2
Alice Franco,ITA,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,11,"19,436.46",3
Cecilia Biagioli,ARG,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,11,"19,888.45",4
Daria Kulik,RUS,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,11,"20,095.33",5
Erika Yenssen,ARG,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,11,"20,096.43",6
Pilar Geijo,ARG,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,11,"20,130.87",7
Vasiliki Kadoglu,BUL,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,11,"20,324.21",8
Rita Vanesa Garcia,ARG,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,11,"22,382.64",9
Daira Marin,ARG,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25,NW,Neutral,11,"22,383.27",10
end,,,2018_08_25_OhridLake_25km_W,,,,,,,
Xin Xin,CHN,09/16/2018,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,33,"7,582.60",1
Leonie Beck,GER,09/16/2018,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,33,"7,583.40",2
Ana Marcela Cunha,BRA,09/16/2018,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,33,"7,583.50",3
Sharon Van Rouwendaal,NED,09/16/2018,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,33,"7,584.90",4
